# ключ	русский	английский — тексты по docs/GLOSSARY.md Android; после правки: python tools/strings.py
# Оболочка
Undo	Отменить	Undo
PlayingNextFormat	Играет следующим: {0}	Playing next: {0}
AddedToQueueFormat	В конце очереди: {0}	Added to queue: {0}
LinkCopied	Ссылка скопирована	Link copied
TrackHidden	Трек скрыт	Track hidden
# Меню трека
MenuPlayNext	Играть следующим	Play next
MenuAddToQueue	В конец очереди	Add to queue
MenuAddToPlaylist	Добавить в плейлист…	Add to playlist…
MenuTrackRadio	Включить радио по треку	Start track radio
MenuFavoriteAdd	В Избранное	Add to Favorites
MenuFavoriteRemove	Убрать из Избранного	Remove from Favorites
MenuGoToAlbum	Открыть альбом	Go to album
MenuGoToArtist	Открыть исполнителя	Go to artist
MenuGoToChannel	Открыть канал	Go to channel
MenuOtherVersions	Другие версии	Other versions
MenuCopyLink	Копировать ссылку	Copy link
MenuRemoveFromPlaylist	Убрать из плейлиста	Remove from playlist
MenuRemoveFromHistory	Убрать из истории	Remove from history
MenuRemoveFromQueue	Убрать из очереди	Remove from queue
MenuDontShow	Не показывать этот трек	Don't show this track
MenuShowAgain	Снова показывать этот трек	Show this track again
RowPlay	Воспроизвести	Play
RowMenu	Меню	Menu
Explicit	Откровенный текст	Explicit
# Поиск и выдача
RecentQueries	Недавние запросы	Recent searches
InLibrary	В библиотеке	In library
ResultsAll	Всё	All
ResultsMusic	Музыка	Music
ResultsYouTube	YouTube	YouTube
ResultsSongs	Песни	Songs
ResultsAlbums	Альбомы	Albums
ResultsArtists	Исполнители	Artists
ResultsMusicVideos	Клипы	Music videos
ResultsPlaylists	Плейлисты	Playlists
ResultsVideos	Видео	Videos
ResultsChannels	Каналы	Channels
ResultsLive	Трансляции	Live
ResultsTopResult	Лучший результат	Top result
ResultsMore	Ещё	More
ResultsNothing	Ничего не нашлось. Проверьте написание или посмотрите на YouTube	Nothing found. Check the spelling or look on YouTube
ResultsNothingInCatalog	В каталоге YouTube Music ничего не нашлось — вот что есть на YouTube	Nothing in the YouTube Music catalog — here's what's on YouTube
ResultsSearchYouTube	Искать на YouTube	Search YouTube
TypeSong	Песня	Song
TypeVideo	Видео	Video
TypeAlbum	Альбом	Album
TypeArtist	Исполнитель	Artist
TypeChannel	Канал	Channel
TypePlaylist	Плейлист	Playlist
Live	В ЭФИРЕ	LIVE
LinkUnsupported	Эту ссылку не открыть	This link can't be opened
LinkImportLater	Импорт из других сервисов появится позже	Import from other services is coming later
# Коллекции
SeeAll	Все	See all
PlayAll	Слушать	Play
Shuffle	Перемешать	Shuffle
SaveToLibrary	Сохранить	Save
InLibraryCheck	✓ В библиотеке	✓ In library
SaveAsPlaylist	Сохранить	Save
SavedToLibraryFormat	Сохранено в Библиотеку: „{0}“	Saved to Library: “{0}”
Subscribe	Подписаться	Subscribe
Subscribed	Вы подписаны	Subscribed
YouTubeChannel	Канал YouTube	YouTube channel
MenuStartRadio	Включить радио	Start radio
PlayingNextTracks_one	Играет следующим: {0} трек	Playing next: {0} track
PlayingNextTracks_few	Играют следующими: {0} трека	Playing next: {0} tracks
PlayingNextTracks_many	Играют следующими: {0} треков	Playing next: {0} tracks
PlayingNextTracks_other	Играют следующими: {0} трека	Playing next: {0} tracks
AddedToQueueTracks_one	В конце очереди: {0} трек	Added to queue: {0} track
AddedToQueueTracks_few	В конце очереди: {0} трека	Added to queue: {0} tracks
AddedToQueueTracks_many	В конце очереди: {0} треков	Added to queue: {0} tracks
AddedToQueueTracks_other	В конце очереди: {0} трека	Added to queue: {0} tracks
NewPlaylist	Новый плейлист	New playlist
NewPlaylistName	Название	Name
NoPlaylistsYet	Плейлистов пока нет	No playlists yet
AddToPlaylistTitle	Добавить в плейлист	Add to playlist
Done	Готово	Done
Cancel	Отмена	Cancel
AddedToPlaylistFormat	Добавлено в „{0}“	Added to “{0}”
ChangedInPlaylists_one	Изменено в {0} плейлисте	Changed in {0} playlist
ChangedInPlaylists_few	Изменено в {0} плейлистах	Changed in {0} playlists
ChangedInPlaylists_many	Изменено в {0} плейлистах	Changed in {0} playlists
ChangedInPlaylists_other	Изменено в {0} плейлиста	Changed in {0} playlists
OpenLinkFormat	Открыть ссылку: {0}	Open link: {0}
LinkKindVideo	видео YouTube	YouTube video
LinkKindPlaylist	плейлист	playlist
LinkKindAlbum	альбом	album
LinkKindChannel	канал	channel
RowPlayButton.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Воспроизвести	Play
RowLike.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	В Избранное	Add to Favorites
RowMenuButton.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Меню	Menu
RowMenuButton.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Меню	Menu
